InvoiceDate,Invoice Time,CustomerID,InvoiceNo,StockCode,Description,Country,Quantity,UnitPrice,Revenue,Items availability,revenue_buckets,price_buckets,final_revenue
14.12.2017,6:00,AVpgMuGwLJeJML43KY_c,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,6,2.55,15.3,In Stock,Very Good,Medium,20
08.09.2017,5:00,AVpgMuGwLJeJML43KY_c,536365,71053,WHITE METAL LANTERN,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
10.10.2017,5:00,AVpgMuGwLJeJML43KY_c,536365,84406B,CREAM CUPID HEARTS COAT HANGER,United Kingdom,8,2.75,22,In Stock,Excellent,High,30
28.08.2017,7:00,AVpgMuGwLJeJML43KY_c,536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
24.10.2017,4:00,AVpgMuGwLJeJML43KY_c,536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
15.08.2017,15:00,AVpgMuGwLJeJML43KY_c,536365,22752,SET 7 BABUSHKA NESTING BOXES,United Kingdom,2,7.65,15.3,In Stock,Very Good,Very High,20
12.08.2017,9:00,AVpgMuGwLJeJML43KY_c,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,United Kingdom,6,4.25,25.5,In Stock,Excellent,High,30
14.09.2017,21:00,AVpgMuGwLJeJML43KY_c,536366,22633,HAND WARMER UNION JACK,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
21.01.2018,8:00,AVpgMuGwLJeJML43KY_c,536366,22632,HAND WARMER RED POLKA DOT,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
26.05.2018,7:00,AVpgMuGwLJeJML43KY_c,536372,22632,HAND WARMER RED POLKA DOT,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
23.07.2017,0:00,AVpgMuGwLJeJML43KY_c,536372,22633,HAND WARMER UNION JACK,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
26.05.2018,16:00,AVpe9FXeLJeJML43zHrq,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,6,2.55,15.3,In Stock,Very Good,Medium,20
25.03.2015,22:00,AVpe9FXeLJeJML43zHrq,536373,71053,WHITE METAL LANTERN,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
27.10.2014,0:00,AVpe9FXeLJeJML43zHrq,536373,84406B,CREAM CUPID HEARTS COAT HANGER,United Kingdom,8,2.75,22,In Stock,Excellent,High,30
23.04.2015,9:00,AVpe9FXeLJeJML43zHrq,536373,20679,EDWARDIAN PARASOL RED,United Kingdom,6,4.95,29.7,In Stock,Excellent,Very High,30
26.05.2018,6:00,AVpfVJXu1cnluZ0-iwTT,536373,37370,RETRO COFFEE MUGS ASSORTED,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
26.05.2018,6:00,AVpfVJXu1cnluZ0-iwTT,536373,21871,SAVE THE PLANET MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
18.01.2018,12:00,AVphUeKeilAPnD_x3-Be,536373,21071,VINTAGE BILLBOARD DRINK ME MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
02.07.2015,5:00,AVphUeKeilAPnD_x3-Be,536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
10.03.2015,19:00,AVphUeKeilAPnD_x3-Be,536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,United Kingdom,2,4.95,9.9,In Stock,Good,Very High,10
30.03.2017,6:00,AVpi6aLv1cnluZ0-Rv8A,536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,United Kingdom,4,6.95,27.8,In Stock,Excellent,Very High,30
26.05.2018,7:00,AVpi6aLv1cnluZ0-Rv8A,536373,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom,6,2.1,12.6,In Stock,Good,Medium,20
28.08.2017,18:00,AVpf0Nyo1cnluZ0-rzhu,536373,82494L,WOODEN FRAME ANTIQUE WHITE ,United Kingdom,6,2.55,15.3,In Stock,Very Good,Medium,20
26.05.2018,13:00,AWOpOCd2YSSHbkXw07ei,536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
26.05.2018,13:00,AWOpOCd2YSSHbkXw07ei,536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
10.10.2017,13:00,AV2Z1Efc-jtxr-f39lm6,536373,22752,SET 7 BABUSHKA NESTING BOXES,United Kingdom,2,7.65,15.3,In Stock,Very Good,Very High,20
26.05.2018,8:00,AV2Z1Efc-jtxr-f39lm6,536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,United Kingdom,6,4.25,25.5,In Stock,Excellent,High,30
28.09.2017,4:00,AV2Z1Efc-jtxr-f39lm6,536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,6,2.55,15.3,In Stock,Very Good,Medium,20
06.09.2017,20:00,AV2Z1Efc-jtxr-f39lm6,536375,71053,WHITE METAL LANTERN,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
28.09.2017,4:00,AV2Z1Efc-jtxr-f39lm6,536375,84406B,CREAM CUPID HEARTS COAT HANGER,United Kingdom,8,2.75,22,In Stock,Excellent,High,30
18.09.2017,9:00,AV2Z1Efc-jtxr-f39lm6,536375,20679,EDWARDIAN PARASOL RED,United Kingdom,6,4.95,29.7,Out Of Stock,Excellent,Very High,30
